input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,1,2017-06-21 14:34:46.860532,0.000029,"t"
default,key pressed,1,2017-06-21 14:34:46.864486,0.006319,"h"
default,key pressed,1,2017-06-21 14:34:46.921144,0.055556,"e"
default,key pressed,1,2017-06-21 14:34:47.110041,0.188906," "
default,key pressed,1,2017-06-21 14:34:47.431336,0.315463,"f"
default,word typed,1,2017-06-21 14:34:47.431536,0.573405,"the f"
default,key pressed,1,2017-06-21 14:34:47.574596,0.143249,"i"
default,key pressed,1,2017-06-21 14:34:47.681289,0.106665,"v"
default,key pressed,1,2017-06-21 14:34:47.856695,0.175376,"e"
default,key pressed,1,2017-06-21 14:34:48.048160,0.191405," "
default,key pressed,1,2017-06-21 14:34:48.746205,0.698043,"b"
default,word typed,1,2017-06-21 14:34:48.746361,1.314818,"ive b"
default,key pressed,1,2017-06-21 14:34:48.913343,0.167103,"o"
default,key pressed,1,2017-06-21 14:34:49.460043,0.546674,"x"
default,key pressed,1,2017-06-21 14:34:49.609145,0.149068,"i"
default,key pressed,1,2017-06-21 14:34:49.724724,0.115554,"n"
default,key pressed,1,2017-06-21 14:34:49.925180,0.199697,"g"
default,word typed,1,2017-06-21 14:34:49.925378,1.179001,"oxing"
default,key pressed,1,2017-06-21 14:34:50.175174,0.249978," "
default,key pressed,1,2017-06-21 14:34:50.446117,0.270918,"w"
default,key pressed,1,2017-06-21 14:34:50.599147,0.153000,"i"
default,key pressed,1,2017-06-21 14:34:50.916427,0.317217,"z"
default,key pressed,1,2017-06-21 14:34:51.041226,0.124779,"a"
default,word typed,1,2017-06-21 14:34:51.041305,1.115928," wiza"
default,key pressed,1,2017-06-21 14:34:51.232590,0.191334,"r"
default,key pressed,1,2017-06-21 14:34:51.376714,0.144095,"d"
default,key pressed,1,2017-06-21 14:34:51.498696,0.121952,"s"
default,key pressed,1,2017-06-21 14:34:51.757368,0.258644," "
default,key pressed,1,2017-06-21 14:34:52.373772,0.616376,"j"
default,word typed,1,2017-06-21 14:34:52.373889,1.332537,"rds j"
default,key pressed,1,2017-06-21 14:34:52.561195,0.187383,"u"
default,key pressed,1,2017-06-21 14:34:52.737426,0.176172,"m"
default,key pressed,1,2017-06-21 14:34:52.913622,0.176181,"p"
default,key pressed,1,2017-06-21 14:34:53.591350,0.677703," "
default,key pressed,1,2017-06-21 14:34:54.054686,0.463303,"q"
default,word typed,1,2017-06-21 14:34:54.054769,1.680873,"ump q"
default,key pressed,1,2017-06-21 14:34:54.181587,0.126867,"u"
default,key pressed,1,2017-06-21 14:34:54.299276,0.117667,"i"
default,key pressed,1,2017-06-21 14:34:54.456401,0.157095,"c"
default,key pressed,1,2017-06-21 14:34:54.597357,0.140877,"k"
default,key pressed,1,2017-06-21 14:34:54.791972,0.194635,"l"
default,word typed,1,2017-06-21 14:34:54.792049,0.737273,"uickl"
default,key pressed,1,2017-06-21 14:34:54.904464,0.112466,"y"
default,key pressed,1,2017-06-21 14:34:55.517527,0.613035,"+"
default,key pressed,1,2017-06-21 14:34:56.406254,0.888694,"y"
default,sentence typed,1,2017-06-21 14:34:56.566375,9.708204,"the five boxing wizards jump quickly"
default,key pressed,1,2017-06-21 14:34:57.953965,1.537234,"t"
default,key pressed,1,2017-06-21 14:34:58.069100,0.117062,"h"
