participant ID,stimulus,mental complexity,distraction,pressed key,correct key,correct key pressed,reaction time in ms,timestamp
3,you,attentive,False,down,down,True,680,2017-05-25 21:14:46
3,spaceship,attentive,False,up,up,True,797,2017-05-25 21:14:47
3,spaceship,attentive,False,up,up,True,598,2017-05-25 21:14:49
3,cat,attentive,False,down,down,True,592,2017-05-25 21:14:50
3,dog,attentive,False,down,down,True,706,2017-05-25 21:14:51
3,bus,attentive,False,down,down,True,770,2017-05-25 21:14:52
3,boat,attentive,False,down,down,True,547,2017-05-25 21:14:53
3,fly,attentive,False,up,up,True,633,2017-05-25 21:14:54
3,helicopter,attentive,False,up,up,True,634,2017-05-25 21:14:55
3,cat,attentive,False,down,down,True,746,2017-05-25 21:14:57
3,airplane,attentive,False,up,up,True,594,2017-05-25 21:14:58
3,▼,pre-attentive,False,down,down,True,630,2017-05-25 21:14:59
3,▲,pre-attentive,False,down,up,False,391,2017-05-25 21:15:00
3,▲,pre-attentive,False,up,up,True,505,2017-05-25 21:15:01
3,▲,pre-attentive,False,up,up,True,442,2017-05-25 21:15:02
3,▲,pre-attentive,False,up,up,True,404,2017-05-25 21:15:03
3,▼,pre-attentive,False,down,down,True,464,2017-05-25 21:15:04
3,▼,pre-attentive,False,down,down,True,449,2017-05-25 21:15:05
3,▼,pre-attentive,False,down,down,True,417,2017-05-25 21:15:05
3,▼,pre-attentive,False,down,down,True,402,2017-05-25 21:15:06
3,▲,pre-attentive,False,up,up,True,492,2017-05-25 21:15:07
3,▲,pre-attentive,False,up,up,True,471,2017-05-25 21:15:08
3,you,attentive,True,down,down,True,666,2017-05-25 21:15:10
3,bus,attentive,True,down,down,True,1201,2017-05-25 21:15:11
3,dog,attentive,True,down,down,True,850,2017-05-25 21:15:13
3,airplane,attentive,True,up,up,True,866,2017-05-25 21:15:14
3,cat,attentive,True,down,down,True,611,2017-05-25 21:15:15
3,airplane,attentive,True,up,up,True,578,2017-05-25 21:15:16
3,U.F.O.,attentive,True,up,up,True,675,2017-05-25 21:15:17
3,spaceship,attentive,True,up,up,True,961,2017-05-25 21:15:19
3,dog,attentive,True,down,down,True,762,2017-05-25 21:15:20
3,dog,attentive,True,down,down,True,713,2017-05-25 21:15:21
3,car,attentive,True,down,down,True,738,2017-05-25 21:15:23
3,▼,pre-attentive,True,up,down,False,626,2017-05-25 21:15:24
3,▼,pre-attentive,True,down,down,True,523,2017-05-25 21:15:25
3,▲,pre-attentive,True,up,up,True,538,2017-05-25 21:15:26
3,▼,pre-attentive,True,down,down,True,690,2017-05-25 21:15:27
3,▲,pre-attentive,True,up,up,True,513,2017-05-25 21:15:28
3,▲,pre-attentive,True,up,up,True,450,2017-05-25 21:15:29
3,▼,pre-attentive,True,down,down,True,832,2017-05-25 21:15:30
3,▼,pre-attentive,True,down,down,True,915,2017-05-25 21:15:32
3,▲,pre-attentive,True,up,up,True,651,2017-05-25 21:15:33
3,▼,pre-attentive,True,down,down,True,744,2017-05-25 21:15:34
3,▼,pre-attentive,True,down,down,True,817,2017-05-25 21:15:35
